station_id,parameter,r2_pct,p_val
mvm_00031,N-NH4_µg/l,2.2216382823331604,0.03336187221183888
mvm_00031,N-SNOX_µg/l,29.360314984367143,5.804837290075143e-17
mvm_00031,N-TOT_µg/l,11.807916944557528,4.8569413978069e-07
mvm_00031,SIO2_µg/l,43.740154561187204,4.961830256618238e-27
mvm_00031,TIP_µg/l,15.697449231342176,4.466370122455563e-09
mvm_00031,TOC_mg/l,2.6620606178610284,0.019716880434772703
mvm_00031,P-TOT_µg/l,0.1620602837888674,0.5675391084155899
mvm_00032,N-NH4_µg/l,28.649795123470213,4.10477907449952e-17
mvm_00032,N-SNOX_µg/l,13.006393517010284,6.555973451639107e-08
mvm_00032,N-TOT_µg/l,0.8843635127517069,0.17251043873013597
mvm_00032,SIO2_µg/l,30.32024297968261,3.3193657495499263e-18
mvm_00032,TIP_µg/l,31.291424572065672,7.48792524906984e-19
mvm_00032,TOC_mg/l,6.93834729097248,0.00010387258264020745
mvm_00032,P-TOT_µg/l,10.573292677577905,1.3073437686508753e-06
mvm_00035,N-NH4_µg/l,7.918627848784022,2.8265303053139042e-05
mvm_00035,N-SNOX_µg/l,16.39226326792198,6.908941808421555e-10
mvm_00035,N-TOT_µg/l,6.490295215988362,0.0001592099779994863
mvm_00035,SIO2_µg/l,12.720126329922222,7.576028018388268e-08
mvm_00035,TIP_µg/l,17.942620187169346,9.016353711901071e-11
mvm_00035,TOC_mg/l,14.937738300012315,4.531576450624042e-09
mvm_00035,P-TOT_µg/l,4.161381690515819,0.002652505635739279
mvm_00043,N-NH4_µg/l,1.0333748356002093,0.13643225359153005
mvm_00043,N-SNOX_µg/l,2.6017822932289936,0.017671855784179454
mvm_00043,N-TOT_µg/l,2.7183751938705702,0.015278015648441586
mvm_00043,SIO2_µg/l,9.232945006968885,5.419493826640184e-06
mvm_00043,TIP_µg/l,7.147811016932248,6.915916139018716e-05
mvm_00043,TOC_mg/l,2.7674906847432013,0.014371370324530631
mvm_00043,P-TOT_µg/l,2.9971147328362147,0.010993811428477707
mvm_42954,N-NH4_µg/l,9.44390801633027,0.0003040302544972548
mvm_42954,N-SNOX_µg/l,24.58704969784755,1.1155109376045251e-09
mvm_42954,N-TOT_µg/l,22.894825090674097,1.8598994347043823e-11
mvm_42954,TIP_µg/l,10.669394155866064,0.0001171970335123094
mvm_42954,P-TOT_µg/l,17.76201849449719,5.712605374797162e-09
oda_1000315,N-NH4_µg/l,2.9024335840415527,0.3205132996554637
oda_1000315,N-SNOX_µg/l,71.88478829419567,6.793423447479786e-11
oda_1000315,N-TOT_µg/l,72.62259397348583,4.302291123327084e-11
oda_1000315,STS_mg/l,60.67796511314339,2.2018725942832233e-08
oda_1000315,P-TOT_µg/l,9.279809137763284,0.07084506768153066
oda_1000315,SRP_µg/l,0.2741280186631556,0.7616880704538933
oda_15000002,N-NH4_µg/l,20.383894421435745,1.1551759422330375e-14
oda_15000002,N-SNOX_µg/l,0.8401078718143329,0.1367099833214647
oda_15000002,N-TOT_µg/l,0.9274326961105528,0.11924243644251577
oda_15000002,STS_mg/l,9.440079397893497,4.347099863936629e-07
oda_15000002,P-TOT_µg/l,29.49267621378442,1.1812829479984019e-21
oda_15000002,SRP_µg/l,23.461145198535238,5.390884758587286e-17
oda_15000032,N-NH4_µg/l,27.861333907388076,1.4401739874435304e-24
oda_15000032,N-SNOX_µg/l,23.514198587272674,1.2489055410915296e-20
oda_15000032,N-TOT_µg/l,52.026810269004365,3.883999489018551e-53
oda_15000032,STS_mg/l,26.712723256693682,1.8555123456700337e-23
oda_15000032,P-TOT_µg/l,12.806129831317492,3.419142106580088e-11
oda_15000032,SRP_µg/l,3.7981316577690105,0.0004012308419752059
oda_15000034,N-NH4_µg/l,4.186761983781806,0.01568249908269012
oda_15000034,N-SNOX_µg/l,0.07881025610443348,0.7428711410182728
oda_15000034,N-TOT_µg/l,0.42455532890435244,0.44768678277950313
oda_15000034,STS_mg/l,7.075703934644439,0.015073691121944493
oda_15000034,P-TOT_µg/l,21.576854210171483,9.52380139544306e-09
oda_15000034,SRP_µg/l,13.70985116412089,7.240532434054274e-06
oda_15000035,N-NH4_µg/l,3.4478952250542316,0.004632654988467849
oda_15000035,N-SNOX_µg/l,25.185556561353216,2.4837887310676554e-16
oda_15000035,N-TOT_µg/l,10.754274791900587,3.221178539757614e-07
oda_15000035,STS_mg/l,12.410688292109107,1.2352153712439612e-06
oda_15000035,P-TOT_µg/l,22.548642880104307,1.8887429593004278e-14
oda_15000035,SRP_µg/l,19.939591492164777,8.079293330553819e-13
oda_15000047,N-NH4_µg/l,17.06964725182949,2.1365656491902526e-05
oda_15000047,N-SNOX_µg/l,15.893498839413212,4.3681836145566635e-05
oda_15000047,N-TOT_µg/l,10.253624915558513,0.0013863379084193329
oda_15000047,STS_mg/l,20.95557293142354,0.004387197293456059
oda_15000047,P-TOT_µg/l,4.60767228968153,0.03473993275446896
oda_15000047,SRP_µg/l,10.51496283763045,0.0009971851266769845
oda_15000280,N-NH4_µg/l,21.327951053115747,0.004577209264179082
oda_15000280,N-SNOX_µg/l,50.168397848292365,1.3461267967155138e-06
oda_15000280,N-TOT_µg/l,31.574671811705134,0.00036211235879560764
oda_15000280,STS_mg/l,0.0034202193520127544,0.9729956080591057
oda_15000280,P-TOT_µg/l,13.195241869441043,0.02943646656573288
oda_15000280,SRP_µg/l,20.58032127703804,0.005454367841393217
oda_2000005,N-NH4_µg/l,24.554837667747552,3.1234444288061097e-21
