station_id,station_name,lon,lat,sample_date,parameter,fraction,value,unit
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-03-08,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,6.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-03-08,"Glødetab,susp.stof",Total,4.9,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-03-08,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.12,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-03-08,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.023,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-03-08,"Phosphor, total-P",Total,0.091522945261841,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-03-08,"Nitrogen,total N",Total,6.963755400000001,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-03-21,"Nitrogen,total N",Total,4.1687586,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-03-21,"Phosphor, total-P",Total,0.08413031469583862,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-03-21,"Glødetab,susp.stof",Total,3.7,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-03-21,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.17,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-03-21,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.022,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-03-21,Suspenderede stoffer,Total,14.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-03-21,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,3.4,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-04-27,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,1.3,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-04-27,"Nitrogen,total N",Total,2.1,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-04-27,Suspenderede stoffer,Total,4.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-04-27,"Glødetab,susp.stof",Total,0.8,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-04-27,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.1,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-04-27,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.026,mg/l
