vassnr,station_name,lon,lat,sample_date,par_unit,value
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-05-02,P-TOT_µg/l,16.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-05-02,TOC_mg/l,7.7
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-05-08,N-TOT_µg/l,795.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-05-08,P-TOT_µg/l,14.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-05-08,TOC_mg/l,7.2
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-05-15,N-TOT_µg/l,789.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-05-15,P-TOT_µg/l,25.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-05-15,TOC_mg/l,7.9
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-05-22,N-TOT_µg/l,785.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-05-22,P-TOT_µg/l,9.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-05-22,TOC_mg/l,8.3
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-05-29,N-TOT_µg/l,900.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-05-29,P-TOT_µg/l,13.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-05-29,TOC_mg/l,8.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-06-20,N-TOT_µg/l,1109.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-06-20,P-TOT_µg/l,20.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-06-20,TOC_mg/l,8.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-06-26,N-TOT_µg/l,842.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-06-26,P-TOT_µg/l,14.0
