mvm_id,station_name,lon,lat,sample_date,par_unit,value
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-09-15,TOC_mg/l,13.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-10-16,N-NH4_µg/l,16.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-10-16,N-NO3_µg/l,315.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-10-16,N-TOT_µg/l,879.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-10-16,P-TOT_µg/l,38.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-10-16,SRP_µg/l,16.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-10-16,TOC_mg/l,15.1
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-11-15,N-NH4_µg/l,21.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-11-15,N-NO3_µg/l,281.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-11-15,N-TOT_µg/l,1028.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-11-15,P-TOT_µg/l,32.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-11-15,SRP_µg/l,12.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-11-15,TOC_mg/l,12.3
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-12-15,N-NH4_µg/l,30.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-12-15,N-NO3_µg/l,319.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-12-15,N-TOT_µg/l,534.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-12-15,P-TOT_µg/l,74.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-12-15,SRP_µg/l,20.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2000-12-15,TOC_mg/l,12.4
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-01-15,N-NH4_µg/l,77.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-01-15,N-NO3_µg/l,320.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-01-15,N-TOT_µg/l,860.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-01-15,P-TOT_µg/l,33.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-01-15,SRP_µg/l,14.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-01-15,TOC_mg/l,11.1
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-02-15,N-NH4_µg/l,60.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-02-15,N-NO3_µg/l,363.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-02-15,N-TOT_µg/l,920.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-02-15,P-TOT_µg/l,27.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-02-15,SRP_µg/l,13.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-02-15,TOC_mg/l,9.1
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-03-15,N-NH4_µg/l,102.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-03-15,N-NO3_µg/l,106.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-03-15,N-TOT_µg/l,711.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-03-15,P-TOT_µg/l,39.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-03-15,SRP_µg/l,17.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-03-15,TOC_mg/l,9.3
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-04-17,N-NH4_µg/l,30.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-04-17,N-NO3_µg/l,355.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-04-17,N-TOT_µg/l,674.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-04-17,P-TOT_µg/l,27.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-04-17,SRP_µg/l,6.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-04-17,TOC_mg/l,10.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-05-15,N-NH4_µg/l,27.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-05-15,N-NO3_µg/l,262.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-05-15,N-TOT_µg/l,671.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-05-15,P-TOT_µg/l,63.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-05-15,SRP_µg/l,9.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-05-15,TOC_mg/l,9.1
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-06-28,N-NH4_µg/l,22.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-06-28,N-NO3_µg/l,117.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-06-28,N-TOT_µg/l,682.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-06-28,P-TOT_µg/l,42.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-06-28,SRP_µg/l,3.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-06-28,TOC_mg/l,10.4
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-07-13,N-NH4_µg/l,90.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-07-13,N-NO3_µg/l,282.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-07-13,N-TOT_µg/l,740.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-07-13,P-TOT_µg/l,47.0
31,Bäveån Uddevalla,11.939269389911125,58.347116702713215,2001-07-13,SRP_µg/l,11.0
