mvm_id,date,flow_m3/s,N-TOT_µg/l,P-TOT_µg/l,TOC_mg/l,N-NH4_µg/l,N-NO3_µg/l,SRP_µg/l,DOC_mg/l,N-TON_µg/l
35,2016-03-16,11.3,534.15701148158,11.391109773177703,8.86035255488518,28.922975154125723,240.87836739045756,3.6567756246716887,8.594541978238624,264.3556689369967
35,2016-03-17,11.9,535.627539040648,11.42375805815532,8.885752220965303,29.002599742290187,241.54150251742797,3.6672563816015007,8.619179654336344,265.0834367809299
35,2016-03-18,12.4,536.8003011868097,11.449798066941298,8.906010799673824,29.06610124032548,242.07036018480414,3.6756157488002104,8.638830475683609,265.66383976168015
35,2016-03-19,12.8,537.7067057393004,11.46992547189103,8.92166950305687,29.11518028597642,242.47910376413796,3.6820770511029393,8.654019417965165,266.1124216891861
35,2016-03-20,13.0,538.1498961496981,11.479767360209868,8.92932628984004,29.13917769676192,242.67896069797018,3.685236495443456,8.661446501144837,266.33175775496596
35,2016-03-21,13.0,538.1498961496981,11.479767360209868,8.92932628984004,29.13917769676192,242.67896069797018,3.685236495443456,8.661446501144837,266.33175775496596
35,2016-03-22,12.8,537.7067057393004,11.46992547189103,8.92166950305687,29.11518028597642,242.47910376413796,3.6820770511029393,8.654019417965165,266.1124216891861
35,2016-03-23,12.6,537.2569093188861,11.459937224873398,8.913898853491816,29.09082517987012,242.27626784683537,3.6788706226728247,8.646481887887061,265.88981629218057
35,2016-03-24,12.3,536.5693757701418,11.444670414617244,8.902021593406639,29.053597332401072,241.9662242544311,3.6739696691465364,8.634960945604439,265.5495541833097
35,2016-03-25,12.2,536.3366657883134,11.439503227993004,8.89800163062444,29.040996795708928,241.86128357352004,3.672310898186385,8.631061581705707,265.4343854190845
35,2016-03-26,12.4,536.8003011868097,11.449798066941298,8.906010799673824,29.06610124032548,242.07036018480414,3.6756157488002104,8.638830475683609,265.66383976168015
35,2016-03-27,12.5,537.0294699507637,11.454886802635372,8.909969729952556,29.078510030856105,242.1737039517707,3.67724933543198,8.642670638053978,265.77725596813684
35,2016-03-28,13.3,538.8027228189757,11.494265227214383,8.94060533459607,29.1745262724234,242.97335320598646,3.6898906027014404,8.672387174558187,266.6548433405658
35,2016-03-29,13.7,539.6517991799333,11.513122453347439,8.955275875864006,29.22050117112185,243.35624460911532,3.6959441520259015,8.686617599588086,267.0750533996961
