station_id,station_name,lon,lat,sample_date,depth1,depth2,parameter,value,unit
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-07-14,"0,50","0,50",Si,2.18,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-07-14,"0,50","0,50",TOC,16.0,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-07-14,"0,50","0,50",Tot-N_ps,908.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-07-14,"0,50","0,50",Tot-P,47.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-08-15,"0,50","0,50",NH4-N,30.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-08-15,"0,50","0,50",NO2+NO3-N,326.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-08-15,"0,50","0,50",PO4-P,9.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-08-15,"0,50","0,50",Si,2.06,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-08-15,"0,50","0,50",TOC,10.6,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-08-15,"0,50","0,50",Tot-N_ps,746.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-08-15,"0,50","0,50",Tot-P,46.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-09-15,"0,50","0,50",NH4-N,81.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-09-15,"0,50","0,50",NO2+NO3-N,297.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-09-15,"0,50","0,50",PO4-P,1.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-09-15,"0,50","0,50",Si,2.37,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-09-15,"0,50","0,50",TOC,13.0,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-09-15,"0,50","0,50",Tot-N_ps,868.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-09-15,"0,50","0,50",Tot-P,49.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-10-16,"0,50","0,50",NH4-N,16.0,µg/l
